tweetID,tweet,userID,username,userURL,time,tweetURL
398654304493793280,RT @TheseDamnQuote: Super Typhoon #Yolanda is now the strongest cyclone of the year worldwide. #PrayForThePhilippines 😢 http://t.co/ZK0qPz3…,586887184,samzpottorff,,Fri Nov 08 03:32:47 +0000 2013,https://twitter.com/samzpottorff/status/398654304493793280
398654306506641408,"RT @ANCALERTS: #YolandaPH Signal No 3: Negros Oriental,  Rest of Negros Occidental, Camotes island, Biliran, rest of Cebu. (3 of 3)",77200952,lynvgarcia,https://www.facebook.com/lynvgarcia,Fri Nov 08 03:32:47 +0000 2013,https://twitter.com/lynvgarcia/status/398654306506641408
398654307433578498,#BCWMH,606143436,ohitsMichJean,,Fri Nov 08 03:32:48 +0000 2013,https://twitter.com/ohitsMichJean/status/398654307433578498
398654309123891200,Making a list of those people who we are about to give a present on xmass day,162656325,stunnerehlou,,Fri Nov 08 03:32:48 +0000 2013,https://twitter.com/stunnerehlou/status/398654309123891200
398654310562545664,"RT @iwantjollibee: Today, let's take inspiration from PNoy. Bee safe, everyone! #YolandaPH http://t.co/ej3K6L5o2h",25800668,princessjao,,Fri Nov 08 03:32:48 +0000 2013,https://twitter.com/princessjao/status/398654310562545664
398654312475549696,RT @GenePark: Seriously. #Haiyan is no joke. Look at it compared to Hurricane Katrina. The Philippines face catastrophe. http://t.co/NtwzL0…,21015397,durabilite,http://www.linkedin.com/profile/view?id=45515993&trk=tab_pro,Fri Nov 08 03:32:49 +0000 2013,https://twitter.com/durabilite/status/398654312475549696
398654314391957504,Sooner or later. Sus!,264519729,cessangloves,http://www.facebook.com/PrincessJoanaMagana,Fri Nov 08 03:32:49 +0000 2013,https://twitter.com/cessangloves/status/398654314391957504
398654315012714496,"""@jsminevee: Last intrams with these guys. ☺😂😍😘❤ http://t.co/WKZXYi2XNP"" heart heart☺",127747364,charegencia,,Fri Nov 08 03:32:49 +0000 2013,https://twitter.com/charegencia/status/398654315012714496
398654315448901632,"RT @BBCBreaking: Typhoon #Haiyan, world's strongest storm of 2013, makes landfall in Philippines with winds up to 235 km/h (146mph) http://…",41417201,MrPaulMcAfee,http://ca.linkedin.com/pub/paul-mcafee/16/147/37a/,Fri Nov 08 03:32:50 +0000 2013,https://twitter.com/MrPaulMcAfee/status/398654315448901632
398654317474758656,"RT @CecilyTynan: Unbelievable satellite shot of Super #Typoon #Haiyan,1of the strongest storms in history hitting the #Philippines now http…",3704601,alansgabriel,,Fri Nov 08 03:32:50 +0000 2013,https://twitter.com/alansgabriel/status/398654317474758656
398654319450271744,RT @DepEd_PH: Volunteers needed for ongoing repacking of relief goods at DSWD-NROC in Pasay City. Call @dswdserves at 851-2681 for scheduli…,779360394,JpChuaa,,Fri Nov 08 03:32:51 +0000 2013,https://twitter.com/JpChuaa/status/398654319450271744
398654319576113152,"RT @BBCBreaking: Typhoon #Haiyan, world's strongest storm of 2013, makes landfall in Philippines with winds up to 235 km/h (146mph) http://…",1245031710,OhMySabah,,Fri Nov 08 03:32:51 +0000 2013,https://twitter.com/OhMySabah/status/398654319576113152
398654320440127489,God bless &amp; take care loves #YolandaPH,289286389,MeKinnah23,http://www.keek.com/kinnahtorres1,Fri Nov 08 03:32:51 +0000 2013,https://twitter.com/MeKinnah23/status/398654320440127489
398654320515633154,RT @Matt_Jasper: People of the Philippines. Please keep your heads down and be safe. #Haiyan http://t.co/xMabilH2ao,22038713,jim_yackel,http://www.authorjimyackel.com,Fri Nov 08 03:32:51 +0000 2013,https://twitter.com/jim_yackel/status/398654320515633154
398654322306580480,RT @DepEd_PH: Volunteers needed for ongoing repacking of relief goods at DSWD-NROC in Pasay City. Call @dswdserves at 851-2681 for scheduli…,390659054,ILYHarold_1D,http://instagram.com/marletzloves1D,Fri Nov 08 03:32:51 +0000 2013,https://twitter.com/ILYHarold_1D/status/398654322306580480
398654323485200384,RT @ANCALERTS: PHOTO: #YolandaPH will hit Panay between 12-1:00pm today http://t.co/ZvvxIqOSFn,411165749,timadrian90,http://www.behance.net/timsantos,Fri Nov 08 03:32:52 +0000 2013,https://twitter.com/timadrian90/status/398654323485200384
398654323594235904,Grow old with you babyy. ❤,347740853,TheManOfSteel18,http://fb.com/Love.Kouh08,Fri Nov 08 03:32:52 +0000 2013,https://twitter.com/TheManOfSteel18/status/398654323594235904
